dataset,model,config,horizon_Q,horizon_min,MAE_mph,RMSE_mph,MAPE_pct
METR-LA,AGCRN,NoAcc,3,15,3.18,8.57,7.68
METR-LA,AGCRN,NoAcc,6,30,3.9,10.4,10.25
METR-LA,AGCRN,NoAcc,12,60,5.05,13.09,14.01
METR-LA,AGCRN,Acc_NoSG,3,15,1.96,6.34,4.73
METR-LA,AGCRN,Acc_NoSG,6,30,3.08,9.02,7.97
METR-LA,AGCRN,Acc_NoSG,12,60,4.44,12.03,11.92
METR-LA,AGCRN,Acc_SG,3,15,1.97,6.05,4.7
METR-LA,AGCRN,Acc_SG,6,30,3.02,8.61,7.55
METR-LA,AGCRN,Acc_SG,12,60,4.27,11.39,11.13
METR-LA,DCRNN,NoAcc,3,15,3.39,8.76,8.39
METR-LA,DCRNN,NoAcc,6,30,4.13,10.63,10.42
METR-LA,DCRNN,NoAcc,12,60,5.31,13.1,13.78
METR-LA,DCRNN,Acc_NoSG,3,15,2.19,6.49,5.41
METR-LA,DCRNN,Acc_NoSG,6,30,3.29,9.17,8.24
METR-LA,DCRNN,Acc_NoSG,12,60,4.67,12.16,12.02
METR-LA,DCRNN,Acc_SG,3,15,2.25,6.19,5.57
METR-LA,DCRNN,Acc_SG,6,30,3.18,8.68,8.05
METR-LA,DCRNN,Acc_SG,12,60,4.44,11.47,11.41
METR-LA,STGIN,NoAcc,3,15,3.39,8.59,10.74
METR-LA,STGIN,NoAcc,6,30,4.55,10.46,14.28
METR-LA,STGIN,NoAcc,12,60,5.48,13.04,18.49
METR-LA,STGIN,Acc_NoSG,3,15,2.37,6.57,6.87
METR-LA,STGIN,Acc_NoSG,6,30,3.53,9.21,11.13
METR-LA,STGIN,Acc_NoSG,12,60,5.11,12.16,17.28
METR-LA,STGIN,Acc_SG,3,15,2.48,6.6,7.14
METR-LA,STGIN,Acc_SG,6,30,3.59,9.28,11.23
METR-LA,STGIN,Acc_SG,12,60,4.95,11.58,15.71
METR-LA,GWNET,NoAcc,3,15,3.05,8.21,7.38
METR-LA,GWNET,NoAcc,6,30,3.69,9.89,9.09
METR-LA,GWNET,NoAcc,12,60,4.66,12.06,11.71
METR-LA,GWNET,Acc_NoSG,3,15,1.98,6.45,4.77
METR-LA,GWNET,Acc_NoSG,6,30,3.1,9.02,7.61
METR-LA,GWNET,Acc_NoSG,12,60,4.4,11.88,10.95
METR-LA,GWNET,Acc_SG,3,15,2.23,6.24,5.39
METR-LA,GWNET,Acc_SG,6,30,3.12,8.62,7.72
METR-LA,GWNET,Acc_SG,12,60,4.27,11.29,10.8
METR-LA,STAEformer,NoAcc,3,15,3.56,8.8,9.26
METR-LA,STAEformer,NoAcc,6,30,4.31,10.68,11.33
METR-LA,STAEformer,NoAcc,12,60,5.46,13.19,14.42
METR-LA,STAEformer,Acc_NoSG,3,15,2.33,6.61,6.15
METR-LA,STAEformer,Acc_NoSG,6,30,3.47,9.21,9.27
METR-LA,STAEformer,Acc_NoSG,12,60,4.87,12.3,12.74
METR-LA,STAEformer,Acc_SG,3,15,2.46,6.63,6.15
METR-LA,STAEformer,Acc_SG,6,30,3.49,9.23,8.77
METR-LA,STAEformer,Acc_SG,12,60,4.95,12.31,12.76
PEMS-BAY,AGCRN,NoAcc,3,15,1.25,2.64,2.4
PEMS-BAY,AGCRN,NoAcc,6,30,1.49,3.34,2.97
PEMS-BAY,AGCRN,NoAcc,12,60,1.78,4.04,3.62
PEMS-BAY,AGCRN,Acc_NoSG,3,15,0.9,2.25,1.73
PEMS-BAY,AGCRN,Acc_NoSG,6,30,1.35,3.22,2.72
PEMS-BAY,AGCRN,Acc_NoSG,12,60,1.79,4.27,3.76
PEMS-BAY,AGCRN,Acc_SG,3,15,0.87,2.02,1.65
PEMS-BAY,AGCRN,Acc_SG,6,30,1.25,2.89,2.46
PEMS-BAY,AGCRN,Acc_SG,12,60,1.64,3.81,3.34
PEMS-BAY,DCRNN,NoAcc,3,15,1.33,2.81,2.55
PEMS-BAY,DCRNN,NoAcc,6,30,1.58,3.45,3.19
